test_score,train_score,minutes_into_game
0.5207373271889401,0.5407066052227343,200
0.5852534562211982,0.565284178187404,400
0.5161290322580645,0.5821812596006144,600
0.5622119815668203,0.5867895545314901,800
0.576036866359447,0.6159754224270353,1000
0.5898617511520737,0.65284178187404,1200
0.5944700460829493,0.6497695852534562,1400
0.5898617511520737,0.65284178187404,1600
0.5898617511520737,0.6682027649769585,1800
0.6175115207373272,0.6973886328725039,2000
0.6221198156682027,0.695852534562212,2200
0.6682027649769585,0.717357910906298,2400
0.6820276497695853,0.7327188940092166,2600
0.7096774193548387,0.7511520737327189,2800
0.7373271889400922,0.7403993855606759,3000
0.7419354838709677,0.7465437788018433,3200
0.7603686635944701,0.7480798771121352,3400
0.7649769585253456,0.7557603686635944,3600
0.7741935483870968,0.7880184331797235,3800
0.7649769585253456,0.7972350230414746,4000
0.7649769585253456,0.8064516129032258,4200
0.7741935483870968,0.8064516129032258,4400
0.8110599078341014,0.8279569892473119,4600
0.8294930875576036,0.8402457757296466,4800
0.8294930875576036,0.8571428571428571,5000
0.847926267281106,0.8755760368663594,5200
0.8709677419354839,0.8863287250384024,5400
0.880184331797235,0.8940092165898618,5600
0.9032258064516129,0.9155145929339478,5800
0.9400921658986175,0.9262672811059908,6000
