Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,predictions,probability_win
0,-1,0,2,0,1,-1,0,0,no,0.24734180035650627
-1,-3,1,2,0,1,1,0,1,no,0.005555555555555555
-1,0,2,2,0,1,2,0,1,no,0.06232142857142857
-1,-2,3,7,0,2,2,0,1,no,0.049981684981684975
-1,-3,3,9,0,3,3,0,1,no,0.049981684981684975
-1,-3,3,9,0,3,2,-1,1,no,0.03952713952713953
-1,-1,2,10,0,3,2,-1,1,no,0.03952713952713953
-1,-3,2,9,0,3,3,-1,1,no,0.03952713952713953
-1,-2,-1,7,0,3,2,-1,1,no,0.01388888888888889
-1,-1,-3,8,0,3,3,0,0,no,0.01388888888888889
-1,-1,-4,8,0,3,3,1,0,no,0.02976190476190476
-1,-1,-4,8,0,4,5,3,0,no,0.02976190476190476
-1,0,-2,8,0,4,8,3,-1,no,0.05476190476190477
-1,1,-1,9,0,6,10,3,-1,no,0.03333333333333333
-1,0,0,8,0,5,10,3,-1,no,0.03333333333333333
0,1,0,7,0,6,14,3,-1,no,0.27012210012210014
-1,1,1,6,0,6,14,3,-1,no,0.04047619047619047
-1,-1,1,7,0,7,14,1,-1,no,0.04047619047619047
-1,-1,1,7,0,7,16,1,-1,no,0.04047619047619047
-2,1,2,9,0,7,17,1,-1,no,0.04807692307692308
-2,1,2,6,0,7,19,2,-1,no,0.07023809523809524
-1,2,4,4,0,9,17,3,-1,no,0.06329365079365079
0,6,2,6,0,9,18,1,-2,no,0.2574275724275724
-1,4,2,3,0,9,20,0,-1,no,0.09454365079365079
-1,5,1,3,0,8,20,0,-2,no,0.0433531746031746
-1,5,1,1,0,8,22,0,-2,no,0.0433531746031746
-1,4,0,1,0,9,22,1,-2,no,0.0433531746031746
0,4,0,0,0,9,21,0,-2,no,0.17562746893629247
-1,3,-1,2,0,9,20,0,-2,no,0.0433531746031746
-1,4,-2,3,0,10,18,2,-2,no,0.06825396825396825
